I have successfully retrieved the complete README from the public-apis repository (1958 lines). Here is the full structured data organized by all 50 categories.

---

## Complete Public APIs Reference (from github.com/public-apis/public-apis)

**Total categories: 50**

---

### 1. Animals (28 APIs)

| Name | Description | Auth | HTTPS | CORS |
| Amanah Sunnah | Semantic search across Quran, Hadith, Tafsir & 18K+ Rijal narrators | apiKey | Yes | Yes |
| Bhagavad Gita (docs.bhagavadgitaapi.in) | Open Source Shrimad Bhagavad Gita API | apiKey | Yes | Yes |
| Bhagavad Gita (bhagavadgita.io) | Bhagavad Gita text | OAuth | Yes | Yes |
| Bhagavad Gita telugu | Bhagavad Gita API in telugu and odia languages | No | Yes | Yes |
| Bible-api | Free Bible API with multiple languages | No | Yes | Yes |
| British National Bibliography | Books | No | No | Unknown |
| Crossref Metadata Search | Books & Articles Metadata | No | Yes | Unknown |
| Ganjoor | Classic Persian poetry works | OAuth | Yes | Yes |
| Google Books | Books | OAuth | Yes | Unknown |
| GurbaniNow | Fast and Accurate Gurbani RESTful API | No | Yes | Unknown |
| Gutendex | Web-API for fetching data from Project Gutenberg Books Library | No | Yes | Unknown |
| Open Library | Books, book covers and related data | No | Yes | No |
| Penguin Publishing | Books, book covers and related data | No | Yes | Yes |
| PoetryDB | Get instant data from vast poetry collection | No | Yes | Yes |
| Quran | RESTful Quran API with multiple languages | No | Yes | Yes |
| Quran Cloud | RESTful Quran API to retrieve Ayah, Surah, Juz or entire Holy Quran | No | Yes | Yes |
| Quran-api | Free Quran API Service with 90+ different languages and 400+ translations | No | Yes | Yes |
| Rig Veda | Gods and poets, their categories, and the verse meters | No | Yes | Unknown |
| Runyankole Bible | Free REST API for the Runyankore-Rukiga Bible | No | Yes | Yes |
| The Bible | Everything you need from the Bible in one discoverable place | apiKey | Yes | Unknown |
| Thirukkural | 1330 Thirukkural poems and explanation in Tamil and English | No | Yes | Yes |
| Urantia Papers | Full-text + semantic search across the Urantia Papers | No | Yes | Yes |
| Vedic Society | Descriptions of all nouns from vedic literature | No | Yes | Unknown |
| Wizard World | Get information from the Harry Potter universe | No | Yes | Yes |
| Wolne Lektury | API for e-books available on WolneLektury.pl | No | Yes | Unknown |

---

### 8. Business (22 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Apache Superset | API to manage BI dashboards and data sources | apiKey | Yes | Yes |
| Charity Search | Non-profit charity data | apiKey | No | Unknown |
| Clearbit Logo | Search for company logos | apiKey | Yes | Unknown |
| Domainsdb.info | Registered Domain Names Search | No | Yes | No |
| Freelancer | Hire freelancers to get work done | OAuth | Yes | Unknown |
| Gmail | Flexible, RESTful access to the user's inbox | OAuth | Yes | Unknown |
| Google Analytics | Collect, configure and analyze your data | OAuth | Yes | Unknown |
| Instatus | Post to and update maintenance and incidents on your status page | apiKey | Yes | Unknown |
| Mailchimp | Send marketing campaigns and transactional mails | apiKey | Yes | Unknown |
| mailjet | Marketing email sent using API | apiKey | Yes | Unknown |
| markerapi | Trademark Search | No | No | Unknown |
| ORB Intelligence | Company lookup | apiKey | Yes | Unknown |
| Redash | Access queries and dashboards on Redash | apiKey | Yes | Yes |
| Smartsheet | Programmatically access Smartsheet data | OAuth | Yes | No |
| Square | Easy way to take payments, manage refunds | OAuth | Yes | Unknown |
| SwiftKanban | Kanban software | apiKey | Yes | Unknown |
| Tenders in Hungary | Data for procurements in Hungary | No | Yes | Unknown |
| Tenders in Poland | Data for procurements in Poland | No | Yes | Unknown |
| Tenders in Romania | Data for procurements in Romania | No | Yes | Unknown |
| Tenders in Spain | Data for procurements in Spain | No | Yes | Unknown |
| Tenders in Ukraine | Data for procurements in Ukraine | No | Yes | Unknown |
| Tomba email finder | Email Finder for B2B sales and email marketing | apiKey | Yes | Yes |
| Trello | Boards, lists and cards to organize and prioritize projects | OAuth | Yes | Unknown |

---

### 9. Calendar (16 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Calendarific | Worldwide Holidays | apiKey | Yes | Unknown |
| Checkiday | Industry-leading Holiday API with 5,000+ holidays | apiKey | Yes | Unknown |
| Church Calendar | Catholic liturgical calendar | No | No | Unknown |
| Czech Namedays Calendar | Lookup for a name and returns nameday date | No | No | Unknown |
| Festivo Public Holidays | Public holiday and observance service | apiKey | Yes | Yes |
| Google Calendar | Display, create and modify Google calendar events | OAuth | Yes | Unknown |
| Hebrew Calendar | Convert between Gregorian and Hebrew, fetch Shabbat and Holiday times | No | No | Unknown |
| Holidays | Historical data regarding holidays | apiKey | Yes | Unknown |
| LectServe | Protestant liturgical calendar | No | No | Unknown |
| Nager.Date | Public holidays for more than 90 countries | No | Yes | No |
| Namedays Calendar | Provides namedays for multiple countries | No | Yes | Yes |
| Non-Working Days (icsdb) | Database of ICS files for non working days | No | Yes | Unknown |
| Non-Working Days (isdayoff.ru) | Checking working/non-working days for Russia, CIS, USA | No | Yes | Yes |
| Public Holidays | Data on national, regional, and religious holidays | apiKey | Yes | Yes |
| Russian Calendar | Check if a date is a Russian holiday or not | No | Yes | No |
| UK Bank Holidays | Bank holidays in England, Wales, Scotland and Northern Ireland | No | Yes | Unknown |

---

### 10. Cloud Storage & File Sharing (20 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| AnonFiles | Upload and share your files anonymously | No | Yes | Unknown |
| BayFiles | Upload and share your files | No | Yes | Unknown |
| Box | File Sharing and Storage | OAuth | Yes | Unknown |
| ddownload | File Sharing and Storage | apiKey | Yes | Unknown |
| Dropbox | File Sharing and Storage | OAuth | Yes | Unknown |
| File.io | Super simple file sharing | No | Yes | Unknown |
| Filestack | Filestack File Uploader & File Upload API | apiKey | Yes | Unknown |
| FileUp | Temporary file hosting with upload API, expiration times, view limits | No | Yes | Unknown |
| GoFile | Unlimited size file uploads for free | apiKey | Yes | Unknown |
| Google Drive | File Sharing and Storage | OAuth | Yes | Unknown |
| Gyazo | Save & Share screen captures instantly | apiKey | Yes | Unknown |
| Imgbb | Simple and quick private image sharing | apiKey | Yes | Unknown |
| OneDrive | File Sharing and Storage | OAuth | Yes | Unknown |
| Pantry | Free JSON storage for small projects | No | Yes | Yes |
| Pastebin | Plain Text Storage | apiKey | Yes | Unknown |
| Pinata | IPFS Pinning Services API | apiKey | Yes | Unknown |
| Quip | File Sharing and Storage for groups | apiKey | Yes | Yes |
| Storj | Decentralized Open-Source Cloud Storage | apiKey | Yes | Unknown |
| The Null Pointer | No-bullshit file hosting and URL shortening service | No | Yes | Unknown |
| Web3 Storage | File Sharing and Storage for Free with 1TB Space | apiKey | Yes | Yes |

---

### 11. Continuous Integration (6 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Azure DevOps Health | Resource health for diagnosing Azure issues | apiKey | No | No |
| Bitrise | Build tool and processes integrations | apiKey | Yes | Unknown |
| Buddy | Fastest continuous integration and delivery platform | OAuth | Yes | Unknown |
| CircleCI | Automate software development process | apiKey | Yes | Unknown |
| Codeship | Continuous Integration Platform in the cloud | apiKey | Yes | Unknown |
| Travis CI | Sync GitHub projects with Travis CI to test code | apiKey | Yes | Unknown |

---

### 12. Cryptocurrency (66 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Coinlayer | Real-time Crypto Currency Exchange Rates | apiKey | Yes | Unknown |
| 0x | API for querying token and pool stats across liquidity pools | No | Yes | Yes |
| 1inch | API for querying decentralize exchange | No | Yes | Unknown |
| Alchemy Ethereum | Ethereum Node-as-a-Service Provider | apiKey | Yes | Yes |
| Alpha (Mossland) | Korean crypto channel stance + RAG Q&A | No | Yes | Yes |
| Binance | Exchange for Trading Cryptocurrencies | apiKey | Yes | Unknown |
| Bitcambio | Get the list of all traded assets in the exchange | No | Yes | Unknown |
| BitcoinAverage | Digital Asset Price Data | apiKey | Yes | Unknown |
| BitcoinCharts | Financial and Technical Data related to the Bitcoin Network | No | Yes | Unknown |
| Bitfinex | Cryptocurrency Trading Platform | apiKey | Yes | Unknown |
| Bitmex | Real-Time Cryptocurrency derivatives trading platform | apiKey | Yes | Unknown |
| Bittrex | Next Generation Crypto Trading Platform | apiKey | Yes | Unknown |
| Block | Bitcoin Payment, Wallet & Transaction Data | apiKey | Yes | Unknown |
| Blockchain | Bitcoin Payment, Wallet & Transaction Data | apiKey | Yes | Unknown |
| blockfrost Cardano | Interaction with the Cardano mainnet | apiKey | Yes | Unknown |
| Brave NewCoin | Real-time and historic crypto data from 200+ exchanges | apiKey | Yes | Unknown |
| BtcTurk | Real-time cryptocurrency data, graphs and API | apiKey | Yes | Yes |
| Bybit | Cryptocurrency data feed and algorithmic trading | apiKey | Yes | Unknown |
| CoinAPI | All Currency Exchanges under a single api | apiKey | Yes | No |
| Coinbase | Bitcoin, Bitcoin Cash, Litecoin and Ethereum Prices | apiKey | Yes | Unknown |
| Coinbase Pro | Cryptocurrency Trading Platform | apiKey | Yes | Unknown |
| CoinCap | Real time Cryptocurrency prices | No | Yes | Unknown |
| CoinDCX | Cryptocurrency Trading Platform | apiKey | Yes | Unknown |
| CoinDesk | CoinDesk's Bitcoin Price Index (BPI) | No | Yes | Unknown |
| CoinGecko | Cryptocurrency Price, Market, and Developer/Social Data | No | Yes | Yes |
| Coinigy | Interacting with Coinigy Accounts and Exchange | apiKey | Yes | Unknown |
| Coinlib | Crypto Currency Prices | apiKey | Yes | Unknown |
| Coinlore | Cryptocurrencies prices, volume and more | No | Yes | Unknown |
| CoinMarketCap | Cryptocurrencies Prices | apiKey | Yes | Unknown |
| Coinpaprika | Cryptocurrencies prices, volume and more | No | Yes | Yes |
| CoinRanking | Live Cryptocurrency data | apiKey | Yes | Unknown |
| Coinremitter | Cryptocurrencies Payment & Prices | apiKey | Yes | Unknown |
| CoinStats | Crypto Tracker | No | Yes | Unknown |
| CryptAPI | Cryptocurrency Payment Processor | No | Yes | Unknown |
| CryptingUp | Cryptocurrency data | No | Yes | Unknown |
| CryptoCompare | Cryptocurrencies Comparison | No | Yes | Unknown |
| CryptoMarket | Cryptocurrencies Trading platform | apiKey | Yes | Yes |
| Cryptonator | Cryptocurrencies Exchange Rates | No | Yes | Unknown |
| dYdX | Decentralized cryptocurrency exchange | apiKey | Yes | Unknown |
| Ethplorer | Ethereum tokens, balances, addresses, history | apiKey | Yes | Unknown |
| EXMO | Cryptocurrencies exchange based in UK | apiKey | Yes | Unknown |
| FTX | Complete REST, websocket, and FTX APIs | apiKey | Yes | Yes |
| Gateio | API provides spot, margin and futures trading | apiKey | Yes | Unknown |
| Gemini | Cryptocurrencies Exchange | No | Yes | Unknown |
| Hirak Exchange Rates | Exchange rates between 162 currency & 300 crypto | apiKey | Yes | Unknown |
| Huobi | Seychelles based cryptocurrency exchange | apiKey | Yes | Unknown |
| icy.tools | GraphQL based NFT API | apiKey | Yes | Unknown |
| Indodax | Trade Bitcoin and other assets with rupiah | apiKey | Yes | Unknown |
| INFURA Ethereum | Interaction with Ethereum mainnet and testnets | apiKey | Yes | Yes |
| Kraken | Cryptocurrencies Exchange | apiKey | Yes | Unknown |
| KuCoin | Cryptocurrency Trading Platform | apiKey | Yes | Unknown |
| Localbitcoins | P2P platform to buy and sell Bitcoins | No | Yes | Unknown |
| Mempool | Bitcoin API Service focusing on the transaction fee | No | Yes | No |
| MercadoBitcoin | Brazilian Cryptocurrency Information | No | Yes | Unknown |
| Messari | API endpoints for thousands of crypto assets | No | Yes | Unknown |
| Nexchange | Automated cryptocurrency exchange service | No | No | Yes |
| Nomics | Historical and realtime cryptocurrency prices | apiKey | Yes | Yes |
| NovaDax | NovaDAX API for market data and trading | apiKey | Yes | Unknown |
| OKEx | Cryptocurrency exchange based in Seychelles | apiKey | Yes | Unknown |
| Poloniex | US based digital asset exchange | apiKey | Yes | Unknown |
| PumpFunData | Historical Pump.fun and PumpSwap AMM swap data | apiKey | Yes | Unknown |
| Solana JSON RPC | Endpoints to interact with the Solana Blockchain | No | Yes | Unknown |
| Technical Analysis | Cryptocurrency prices and technical analysis | apiKey | Yes | No |
| VALR | Cryptocurrency Exchange based in South Africa | apiKey | Yes | Unknown |
| WorldCoinIndex | Cryptocurrencies Prices | apiKey | Yes | Unknown |
| ZMOK | Ethereum JSON RPC API and Web3 provider | No | Yes | Unknown |

---

### 13. Currency Exchange (18 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Currencylayer | Exchange rates and currency conversion | apiKey | Yes | Unknown |
| Exchangerate.host | Free foreign exchange & crypto rates API | No | Yes | Unknown |
| Exchangeratesapi.io | Exchange rates with currency conversion | apiKey | Yes | Yes |
| Fixer | Exchange rates and currency conversion | apiKey | No | Unknown |
| 1Forge | Forex currency market data | apiKey | Yes | Unknown |
| Amdoren | Free currency API with over 150 currencies | apiKey | Yes | Unknown |
| Bank of Russia | Exchange rates and currency conversion | No | Yes | Unknown |
| Currency-api | Free Currency Exchange Rates API with 150+ Currencies | No | Yes | Yes |
| CurrencyFreaks | Current and historical currency exchange rates | apiKey | Yes | Yes |
| CurrencyScoop | Real-time and historical currency rates JSON API | apiKey | Yes | Yes |
| Czech National Bank | A collection of exchange rates | No | Yes | Unknown |
| Economia.Awesome | Portuguese free currency prices and conversion | No | Yes | Unknown |
| ExchangeRate-API | Free currency conversion | apiKey | Yes | Yes |
| Frankfurter | Exchange rates, currency conversion and time series | No | Yes | Yes |
| FreeForexAPI | Real-time foreign exchange rates for major currency pairs | No | Yes | No |
| National Bank of Poland | Currency exchange rates (data in XML and JSON) | No | Yes | Yes |
| paralelo.bo | Bolivia parallel-market USD/BOB exchange rate | No | Yes | Yes |
| VATComply.com | Exchange rates, geolocation and VAT number validation | No | Yes | Yes |

---

### 14. Data Validation (7 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| VATlayer | VAT number validation | apiKey | Yes | Unknown |
| Lob.com | US Address Verification | apiKey | Yes | Unknown |
| Postman Echo | Test api server to receive and return value from HTTP method | No | Yes | Unknown |
| PurgoMalum | Content validator against profanity & obscenity | No | No | Unknown |
| US Autocomplete | Enter address data quickly with real-time suggestions | apiKey | Yes | Yes |
| US Extract | Extract postal addresses from any text | apiKey | Yes | Yes |
| US Street Address | Validate and append data for any US postal address | apiKey | Yes | Yes |

---

### 15. Development (124 APIs)

| Name | Description | Auth | HTTPS | CORS |
|---|---|---|---|---|
| Userstack | Secure User-Agent String Lookup JSON API | OAuth | Yes | Unknown |
| 24 Pull Requests | Project to promote open source collaboration during December | No | Yes | Yes |
| Agify.io | Estimates the age from a first name | No | Yes | Yes |
| API Gratis | Multiples services and public APIs | No | Yes | Unknown |
| ApicAgent | Extract device details from user-agent string | No | Yes | Yes |
| ApiFlash | Chrome based screenshot API for developers | apiKey | Yes | Unknown |
| APIs.guru | Wikipedia for Web APIs, OpenAPI/Swagger specs | No | Yes | Unknown |
| Azure DevOps | Azure DevOps basic REST API components | apiKey | Yes | Unknown |
| Base | Building quick backends | apiKey | Yes | Yes |
| Beeceptor | Build a mock Rest API endpoint in seconds | No | Yes | Yes |
| Bitbucket | Bitbucket API | OAuth | Yes | Unknown |
| Blague.xyz | The biggest FR jokes API | apiKey | Yes | Yes |
| Blitapp | Schedule screenshots of web pages | apiKey | Yes | Unknown |
| Blynk-Cloud | Control IoT Devices from Blynk IoT Cloud | apiKey | No | Unknown |
| Bored | Find random activities to fight boredom | No | Yes | Unknown |
| Brainshop.ai | Make A Free A.I Brain | apiKey | Yes | Yes |
| BrewPage | Free hosting for HTML, JSON, key-value, files | No | Yes | No |
| Browshot | Easily make screenshots of web pages | apiKey | Yes | Yes |
| CDNJS | Library info on CDNJS | No | Yes | Unknown |
| Changelogs.md | Structured changelog metadata from open source projects | No | Yes | Unknown |
| Ciprand | Secure random string generator | No | Yes | No |
| Cloudflare Trace | Get IP Address, Timestamp, User Agent, Country Code etc | No | Yes | Yes |
| Codex | Online Compiler for Various Languages | No | Yes | Unknown |
| Contentful Images | Retrieve and apply transformations to images | apiKey | Yes | Yes |
| CORS Proxy | Get around the dreaded CORS error | No | Yes | Yes |
| CountAPI | Free and simple counting service | No | Yes | Yes |
| Databricks | Service to manage databricks account, clusters, notebooks | apiKey | Yes | Yes |
| DigitalOcean Status | Status of all DigitalOcean services | No | Yes | Unknown |
| Docker Hub | Interact with Docker Hub | apiKey | Yes | Yes |
| DomainDb Info | Domain name search | No | Yes | Unknown |
| ExtendsClass JSON Storage | A simple JSON store API | No | Yes | Yes |
| GeekFlare | Testing and monitoring methods for websites | apiKey | Yes | Unknown |
| Genderize.io | Estimates a gender from a first name | No | Yes | Yes |
| GETPing | Trigger an email notification with a simple GET request | apiKey | Yes | Unknown |
| Ghost | Get Published content into your Website | apiKey | Yes | Yes |
| GitHub | Make use of GitHub repositories, code and user info | OAuth | Yes | Yes |
| Gitlab | Automate GitLab interaction | OAuth | Yes | Unknown |
| Gitter | Chat for Developers | OAuth | Yes | Unknown |
| Glitterly | Image generation API | apiKey | Yes | Yes |
| Google Docs | API to read, write, and format Google Docs | OAuth | Yes | Unknown |
| Google Firebase | Google's mobile application development platform | apiKey | Yes | Yes |
| Google Fonts | Metadata for all families served by Google Fonts | apiKey | Yes | Unknown |
| Google Keep | API to read, write, and format Google Keep notes | OAuth | Yes | Unknown |
| Google Sheets | API to read, write, and format Google Sheets data | OAuth | Yes | Unknown |
| Google Slides | API to read, write, and format Google Slides | OAuth | Yes | Unknown |
| Gorest | Online REST API for Testing and Prototyping | OAuth | Yes | Unknown |
| Hasura | GraphQL and REST API Engine with built in Authorization | apiKey | Yes | Yes |
| Heroku | REST API to create apps, provision add-ons on Heroku | OAuth | Yes | Yes |
| host-t.com | Basic DNS query via HTTP GET request | No | Yes | No |
| Host.io | Domains Data API for Developers | apiKey | Yes | Yes |
| HTTP2.Pro | Test endpoints for HTTP/2 protocol support | No | Yes | Unknown |
| Httpbin | A Simple HTTP Request & Response Service | No | Yes | Yes |
| Httpbin Cloudflare | HTTP Request & Response Service with HTTP/3 Support | No | Yes | Yes |
| Hunter | API for domain search, professional email finder | apiKey | Yes | Unknown |
| IBM Text to Speech | Convert text to speech | apiKey | Yes | Yes |
| Icanhazepoch | Get Epoch time | No | Yes | Yes |
| Icanhazip | IP Address API | No | Yes | Yes |
| IFTTT | IFTTT Connect API | No | Yes | Unknown |
| Image-Charts | Generate charts, QR codes and graph images | No | Yes | Yes |
| import.io | Retrieve structured data from a website or RSS feed | apiKey | Yes | Unknown |
| ip-fast.com | IP address, country and city | No | Yes | Yes |
| IP2WHOIS Information Lookup | WHOIS domain name lookup | apiKey | Yes | Unknown |
| ipfind.io | Geographic location of an IP address or domain | apiKey | Yes | Yes |
| IPify | A simple IP Address API | No | Yes | Unknown |
| IPinfo | Another simple IP Address API | No | Yes | Unknown |
| isitdownstatus | Check if websites and online services are currently down | No | Yes | Unknown |
| jsDelivr | Package info and download stats on jsDelivr CDN | No | Yes | Yes |
| JSON 2 JSONP | Convert JSON to JSONP | No | Yes | Unknown |
| JSONbin.io | Free JSON storage service | apiKey | Yes | Yes |
| JSONPlaceholder | Fake REST API for testing and prototyping | No | Yes | Yes |
| Kroki | Creates diagrams from textual descriptions | No | Yes | Yes |
| License-API | Unofficial REST API for choosealicense.com | No | Yes | No |
| Logs.to | Generate logs | apiKey | Yes | Unknown |
| Lua Decompiler | Online Lua 5.1 Decompiler | No | Yes | Yes |
| MAC address vendor lookup | Retrieve vendor details from MAC address | apiKey | Yes | Yes |
| Micro DB | Simple database service | apiKey | Yes | Unknown |
| MicroENV | Fake Rest API for developers | No | Yes | Unknown |
| Mocky | Mock user defined test JSON for REST API endpoints | No | Yes | Yes |
| MY IP | Get IP address information | No | Yes | Unknown |
| Nationalize.io | Estimate the nationality of a first name | No | Yes | Yes |
| Netlify | Netlify is a hosting service for the programmable web | OAuth | Yes | Unknown |
| NetworkCalc | Network calculators, including subnets, DNS, binary | No | Yes | Yes |
| npm Registry | Query information about Node.js libraries | No | Yes | Unknown |
| OneSignal | Self-serve customer engagement solution | apiKey | Yes | Unknown |
| Open Page Rank | API for calculating Page Rank metrics | apiKey | Yes | Unknown |
